0	0	5	5
1	1	5	5
1	2	14.0	19.0
1	3	4.0	23.0
1	4	4.0	27.0
1	5	4.0	31.0
1	6	4.0	35.0
1	7	4.0	39.0
1	8	4.0	43.0
1	9	4.0	47.0
1	10	4.0	51.0
1	11	4.0	55.0
1	12	4.0	59.0
1	13	4.0	63.0
1	14	4.0	67.0
1	15	4.0	71.0
1	16	4.0	75.0
1	17	4.0	79.0
1	18	4.0	83.0
1	19	4.0	87.0
1	20	4.0	91.0
1	21	4.0	95.0
1	22	4.0	99.0
1	23	4.0	103.0
1	24	4.0	107.0
1	25	4.0	111.0
1	26	4.0	115.0
1	27	4.0	119.0
1	28	4.0	123.0
1	29	4.0	127.0
1	30	4.0	131.0
1	31	4.0	135.0
1	32	4.0	139.0
1	33	4.0	143.0
1	34	4.0	147.0
1	35	4.0	151.0
1	36	4.0	155.0
1	37	4.0	159.0
1	38	4.0	163.0
1	39	4.0	167.0
1	40	4.0	171.0
1	41	4.0	175.0
1	42	4.0	179.0
1	43	4.0	183.0
1	44	4.0	187.0
1	45	4.0	191.0
1	46	4.0	195.0
1	47	4.0	199.0
1	48	4.0	203.0
1	49	4.0	207.0
1	50	4.0	211.0
1	51	4.0	215.0
1	52	4.0	219.0
1	53	4.0	223.0
1	54	4.0	227.0
1	55	4.0	231.0
1	56	4.0	235.0
1	57	4.0	239.0
1	58	4.0	243.0
1	59	4.0	247.0
1	60	4.0	251.0
1	61	4.0	255.0
1	62	4.0	259.0
1	63	4.0	263.0
1	64	4.0	267.0
1	65	4.0	271.0
1	66	4.0	275.0
1	67	4.0	279.0
1	68	4.0	283.0
1	69	4.0	287.0
1	70	4.0	291.0
1	71	4.0	295.0
1	72	4.0	299.0
1	73	4.0	303.0
1	74	4.0	307.0
1	75	4.0	311.0
1	76	4.0	315.0
1	77	4.0	319.0
1	78	4.0	323.0
1	79	4.0	327.0
1	80	4.0	331.0
1	81	4.0	335.0
1	82	4.0	339.0
1	83	4.0	343.0
1	84	4.0	347.0
1	85	4.0	351.0
1	86	4.0	355.0
1	87	4.0	359.0
1	88	4.0	363.0
1	89	4.0	367.0
1	90	4.0	371.0
1	91	4.0	375.0
1	92	4.0	379.0
1	93	4.0	383.0
1	94	4.0	387.0
1	95	4.0	391.0
1	96	4.0	395.0
1	97	-1.0	394.0
1	98	-1.0	393.0
1	99	9.0	402.0
